sin_identity,schedule_number,special_item_number,sin_group_title,sin_description1,sin_description2,sin_order,co_fname,co_lname,co_phone,co_email
500003462,SMARTC    ,SC 1                , ,Smart Card,"Supplies and services necessary to support a common, interoperable, multi-application Smart Card program.  Smart Cards are capable of providing any or all of the following:  Public Key Infrastructure (PKI), digital signature, access control, logical access, property pass management, medical information, event attendance, training certification, electronic purse, transit use, kiosk use.  The Smart Card will contain information carried on a chip to be used commonly across applications.  In addition to supplying the Smart Card and accompanying applications, the contractor may be called upon to provide Smart Card management services and system integration to existing or planned systems. More information is available at:  www.gsa.gov/smartcard",0, , , , 
500003463,MILITE    ,ML 1                , ,"Information Technology Planning, Studies and Assessment","Information technology capital planning and assessment;  Business Case Analysis (cost/benefit and risk); Performance measurements; Independent validation and verification of systems development projects; Requirement analysis; Web and C/S decision support tools; Measuring IT progress, return on investment, earned value and compliance with Federal interoperability standards and enterprise architectures as intended by Clinger-Cohen; Studies and analyses to enhance agency compliance with OMB Circulars A-76 and A-130; Business process engineering; change management.",0, , , , 
500003464,MILITE    ,ML 2                , ,High-End Information Technology Services (HITS),"Systems engineering and integration; Database application development for embedded systems; Studies, analyses, design, development, configuration. Integration, documentation, acquisition, modification, installation; testing, training, operation, and/or maintenance of stand alone and/or embedded hardware and software in a simulation, experimental, laboratory, military, and business/operational setting; Scientific and engineering applications development; CAD/CAE/CAM, IV AND V , Design specifications, Documentation and information dissemination, Economic business case analysis, Economic impact evaluations, Education training, Environmental control, Instrumentation, Reliability and Maintainability, Reverse engineering, Simulation and modeling, Source data development, Source data validation, and Statistical analysis.",0, , , , 
500003465,MILITE    ,ML 3                , ,Mission Support Services (MSS),"System development and software maintenance; Facilities planning, management and operations; LAN/MAN/WAN system design; Data entry, storage and retrieval,  Computer equipment and maintenance; Systems installation and integration; Production support; Specialized workstation support; Software and application development, maintenance and enhancement support; Database generation and management; Orientation and training; Information center/help desk; Computer graphics support services; Electronic records management.",0, , , , 
500003466,MILITE    ,ML 4                , ,Legacy Systems Migration and New Enterprise Systems Development,Project management of legacy systems migration and enterprise systems development; Modernization of legacy systems to web enabled applications; Software development and customization of COTS and migration to modular applications; Internet/Intranet/Web applications/Network computing; Information and system security/firewalls/critical infrastructures; Electronic commerce/electronic data exchange; Knowledge management; Data warehousing; Groupware; Next generation internet; Client/Server computing; Workflow and imaging.,0, , , , 
500003468,ANSWER    ,ANS 1               , ,Comprehensive IT Services.,"Services include but are not limited to: Requirements and Design Research, Analysis, and Definition; Systems Development and Software Maintenance; Facilities Planning; Technical Support; Local Area Networks (LAN), Metropolitan Area Networks (MAM), Wide Area Networks (WAN), Wireless, and Telecommunications/Communications System Management Support; LAN/MAN/WAN/Telecommunications/Communications Network System Operations Support Services; Electronic Input; Specialized Workstation Support; Computer Equipment Maintenance; Systems Installation and Integration; Production Support; System Software Support; Data Base Generation; Data and/or Media Management; Orientation and Training; Information Center/Call Center/Help Desk; Homeland Security; Health Informatic; Environmental, Biometrics; General Focus; Modeling and Simulation; Communications;Knowledge Management; Web Evolution; Digital mapping;Supply Chain Management;Information Security and Critical Infrastructure Protection",0, , , , 
500003469,HUBZON    ,HUBZ 1              , ,"On-Line Information Services
(NAICS 514191)",Internet access providers and internet service providers that primarily engage in providing direct access through telecommunications networks to computer-held information compiled or published by others.  The categories include:  Internet Service Provider and Web Hosting. ,1, , , , 
500003470,HUBZON    ,HUBZ 2              , ,"All Other Information Services
(NAICS 514199)","Information services including telephone-based information recordings and information search services on a Contract basis.  The categories include: Application Service Provider (ASP), Call Centers, Distance Learning, E-Commerce, Video Conferencing.  ",2, , , , 
500003471,HUBZON    ,HUBZ 3              , ,"Data Processing Services
(NAICS  514210)","Electronic data processing services including complete processing and preparation of reports from data supplied by customers; specialized services, such as automated data entry services and data processing resources.  The categories include: Data Entry/Electronic Input, Data Processing, Data Warehousing, Document Imaging, Electronic Data Input, Storage Area Networks.",3, , , , 
500003472,HUBZON    ,HUBZ 4              , ,"Custom Computer Programming Services
(NAICS 541511)","Writing, modifying, testing, and supporting software.  The categories include: Data Base Design / Generation, Legacy Interfaces/Data Migration, Software Development/Testing, Web Design.",4, , , , 
500003473,HUBZON    ,HUBZ 5              , ,"Computer Systems Design Services
(NAICS 541512)","Planning and designing of computer systems that integrate computer hardware, software, and communication technologies.  Providing hardware and software components, installing the system and training the users.  The categories include: Business Process Reengineering (BPR), Cabling & Wiring, Configuration Management, Enterprise Resource Planning (ERP), Hardware, LAS/WAN Design, Network Design & Installation, System Analysis, System Design and Integration, Telephony, Voice over IP.",5, , , , 
500003474,HUBZON    ,HUBZ 7              , ,"Other Computer Related  Services
(NAICS 541519)","Computer related services, computer disaster recovery services and software installation services.   The categories include: Contingency Planning, Disaster Preparedness/Recovery Documentation, Information Assurance and Security, Independent Verification and Validation, Virus Detection/Recovery.",7, , , , 
500003476,MILLEN    ,MA 1                , ,Software Engineering,"The area of Software Engineering encompasses all tasks necessary to assist agencies in the management of their software (application systems, data files, databases and interfaces) from initial conception and planning, through design and development, to maintenance, improvement and conversion.  It includes the performance of these tasks as well as assistance in the acquisition of IT resources to perform these tasks.  The general area of life cycle Software Engineering can include studies related to information systems planning as well as the sizing and designing of computer systems on which new or existing software will operate.",0, , , , 
500003477,MILLEN    ,MA 2                , ,Communications,"The area of Communications deals with definition, design, implementation, and management of digital and integrated communications systems which may be terrestrial or satellite based.  It includes local area networks (LAN), metropolitan area networks (MAN), wide-area networks (WAN), enterprise systems, Internet/Intranet-based networks, and any combination thereof, including all forms of digitization and incorporation of multiple media types, e.g., data, digitized voice, video, or imagery as well as high bandwidth and demand bandwidth technologies.  Tasks may include any type of study, integration support, development, evaluation, and implementation having to do with digitized, integrated communications, including secure communications and satellite communications requirements.",0, , , , 
500003478,MILLEN    ,MA 3                , ,System Integration,"This functional area encompasses all activities necessary to develop and deploy an automated information system.  It includes the integration of technical components, such as software, hardware, and communications, and organizational components to include processes and procedures, resulting in a turn-key system.  System Integration may make use of technical laboratories, prototypes, and pilot systems.  It overlaps with several of the other functional areas, but is differentiated by its all-encompassing nature.  Under this area, fully operable, complete systems will be provided to the clients.",0, , , , 
500003479,HUBZON    ,HUBZ 6              , ,"Computer Facilities Management Services 
(NAICS  541513)
","On-site management and operation of clients' computer systems and/or data processing facilities.  Computer systems and/or data processing facilities support services.   Categories include: Computer Operations/Support, End User Support, Equipment Inventory & Maintenance, Facilities Planning/Support, Hardware/Software Maintenance, Help Desk, Network Management.",6,,,,
500003480,48,411 2               , ,RENTAL SUPPLEMENTAL VEHICLE PROGRAM (RSVP) ,"Vehicle rental services to supplement federal fleets and/or official business vehicular needs for other than temporary duty travel (non-TDY) purposes. Typical rental requirements include, but are not limited to, temporary replacement of a fleet vehicle damaged as a result of an accident or incident; temporary replacement of a fleet vehicle undergoing maintenance; supplemental transportation support for fleets; supplemental transportation support for special events (e.g., G8 Summit, conferences, training, campaigns); transportation support for national and natural disasters, emergencies, and/or continuity of operations tests and drills; etc. Services include reservation services, online booking, pick up and return services, vehicle delivery services, fueling, driver
assistance, roadside and navigation assistance, special vehicle needs (e.g., hand controls, wheel chair lifts), reporting, billing, and consulting services.  These would include vehicle rentals to Government Agencies for Official Government business use other than temporary duty travel (TDY). This may include, but is not limited to
the following: Reservation Services, Online Booking, Pick Up & Return Services, Vehicle Readiness, Fueling,  Driver Assistance, Roadside Assistance, Navigation Assistance, Special Vehicle Needs (e.g., hand controls, wheel chair lifts, etc.), Reporting and Internet Tools, Billing Services, Consulting Services, Car Sharing Services.""",2,,,,
500003482,71 II K   ,712 99              , ,Introduction of New Services/Products,"This SIN encompasses Services within the scope of the Comprehensive Furniture Management Services Federal Supply Schedule, and not currently available under any other SIN or Federal Supply Schedule, that may provide a more economical or efficient means for Federal government ordering activities to accomplish their mission.  The new Service may significantly improve an existing Service.  It may be a furniture management service existing in the commercial market, but not yet introduced to the Federal government.",8,,,,
500003484,66,602 41              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles",Navigational And Flight Instruments,"Navigational instruments to include but not limited to Azimuths, Sextants, Octants, Compasses, Plotting Boards, Underwater Log Equipment, Air Position Indicators, Drift Meters.  Flight instruments to include but not limited to air speed indicators, rate of climb indicators, bank and turn indicators, pilot tubes, gyro horizon indicators, and altitude gyro indicators.",0,,,,
500003485,66,602 42              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles",Automatic Pilot Mechanisms And Airborne Gyro Components,"Automatic pilot mechanisms and Airborne gyro components to include but not limited to automatic pilot regulators, directional, vertical, bank and turn, and hydraulic surface gyro controls, airborne and ship borne automatic pilot mechanisms, helicopter automatic stabilization equipment.",0,,,,
500003487,66,602 4000            ,"Test and Measurement Equipment, Unmanned Scientific Vehicles","Aircraft Components, Maintenance, Repair Services, Extended Warranties, And Maintenance Agreements","This PSO offers customers the choice between hourly repair and annual service agreements.  Examples of such PSOs include time and material service, and fixed price per incident repair service.  This SIN for maintenance and repair services relates specifically to equipment acquired under this schedule and does not include research and development projects or Professional Engineering Services unrelated to the existing product offerings.",0,,,,
500003493,81 I B    ,617 13              , ,Unique Identification (UID) / Radio Frequency Identification (RFID,"For a variety of applications including supply chain management, logistics, and anti-counterfeiting, to improve inventory management and reduce operating costs.  Unique Identification (UID) is a system of distinguishing one object from another.  UID of items requires that qualifying items have a data matrix inscribed either directly on the item or on a permanent machine-readable label affixed to the item.  UID is a mandatory Department of Defense (DoD) requirement for all acquisitions beginning January 1, 2004.  It is also mandatory that all legacy items and all Government Furnished Property (GFP) be marked by January 1, 2006.  Radio Frequency Identification (RFID) is a method of remotely storing and retrieving data using devices called RFID tags/transponders.  An RFID tag is a small object integrated with a silicon chip, such as an adhesive sticker, that can be attached to or incorporated into a product.  RFID tags contain antennas to enable them to receive and respond to radio-frequency queries from an RFID transceiver.  RFID allows for individual items to have a unique identifier and can identify many items at once.  RFID enables consumer packaged goods companies, retailers and other industries to improve their operating efficiency throughout their supply chains.  ",11,,,,
500003494,48,411 3               , ,Transportation Consulting Services,"Services available under this special item number are designed to provide agencies with access to transportation consultants to assist them in spend analysis, benchmarking, best practice evaluations, risk assessment, performance metrics, outsourcing studies, re-engineering, requirements analysis, policy review and audit analysis & studies.   This includes consultation on the full range of transportation and accessorial services to fulfill requirements for one or more modes of transportation, including air, sea, and/or land transportation of supplies, resources and personnel that agencies may require.  This SIN does not include actual transportation system development or guard/security services associated with transportation.",3,,,,
500003495,VETS      ,VETS1               , ,Systems Operation and Maintenance,"Operating/managing/maintaining any combination of IT Operations, software or systems, including IT security.  For purposes of issuing an RFI/RFP/RFQ, please use the industry partner list maintained on the GSA <a href=""http://www.gsa.gov/vetsgwac"" target=""_"">VETS</a> website or GSA's eBuy system.",0,,,,
500003496,VETS      ,VETS2               , ,Information Systems Engineering,"Designing, providing and installing IT software or systems solutions, including IT security.  For purposes of issuing an RFI/RFP/RFQ, please use the industry partner list maintained on the GSA <a href=""http://www.gsa.gov/vetsgwac"" target=""_"">VETS</a> website or GSA's eBuy system.",0,,,,
500003497,70,132 61              ,"Identity, Credential and Access Management (ICAM)",Public Key Infrastructure (PKI) Shared Service Providers (PKI SSP) Program - SUBJECT TO COOPERATIVE PURCHASING,"PKI SSPs shall provide reliable, authenticated, policy-compliant service offerings to support Federally issued Personal Identity Verification (PIV), Personal Identity Verification Interoperable (PIV-I), and associated certificates and cryptographic key service offerings.  In accordance with 40 U.S.C. Federal and State agencies and Tribal organizations can leverage these service offerings to allow authorized personnel physical access to facilities and logical access to networks in accordance with X.509 Certificate Policy for the U.S. Federal PKI Common Policy Framework.",0,,,,
500003498,70,132 62              ,"Identity, Credential and Access Management (ICAM)",Homeland Security Presidential Directive 12 Product and Service Components - SUBJECT TO COOPERATIVE PURCHASING,"Products and services for agencies to implement the requirements of <a href=""http://www.gsa.gov/hspd12"" target=""_blank"">HSPD-12</a>, FIPS-201 and associated NIST special publications.  The HSPD-12 implementation components specified under this SIN are: 

	* PIV enrollment and registration services, 
	* PIV systems infrastructure, 
	* PIV card management and production services, 
	* PIV card finalization services,
	* Physical access control products and services,
	* Logical access control products and services,
	* PIV system integration services, and
	* Approved FIPS 201-Compliant products and services.",0,,,,
500003499,23 V      ,967 01              , ,Fuel and Petroleum Tank Trucks and Accessories (NFPA 385 & 407 compliant),"Including but not limited to Bulk Fuel Haulers, Ground Fuel Servicing Trucks (single and multiple product), Aircraft Refueling and De-fueling Tank Trucks and related equipment.",0,,,,
500003500,23 V      ,968 01              , ,Water Tank Trucks and Accessories ,"Including but not limited to Potable and Non-potable Water Trucks, Street Flushers, Dust Control Spray Trucks, Trailers, and related equipment and accessories.",0,,,,
434,36,51 507              , ,Destruction Services,"Destruction services include both on-site and off-site services of classified (e.g., confidential, secret and top secret), unclassified (example: phone list, floor plans, inter-office documents) and personal identifiable information (example: pay records, medical records, financial statements) of hard copy media (e.g., paper, folders, newspapers, catalogs, magazines, maps, envelopes, manuals, ID cards, microfilm, microfiche, photographs, photographic negatives, blue prints and technical drawings), electronic media  (e.g., electro-magnetic tapes, hard drives, floppy disks, random access memory (RAM), read-only memory (ROM), erasable programmable read only memory (EPROM) and subscriber identity module (SIM), and optical mass storage media (e.g., CD/DVD, flash drives and holographic storage.)  Destruction techniques may include but are not limited to all of the following: shredding, pulverization, disintegration, purging, pulping and incineration. ",0,,,,
441,36,51 58B              , ,Lease to Own Plan &#40;LTOP&#41; and Operating Lease Plan ,"&#40;All Other Products&#41;-Includes Lease to Own Plans and Operating Lease Plans applicable to all other products &#40;e.g., laboratory imaging systems, mailroom equipment, typewriters, darkroom equipment and supplies, network optical systems, under this schedule with the exception of copiers. Operating Lease Plans allow Federal customers to lease the equipment for a monthly rate over a period of time, with NO intent to purchase the equipment at the end of the lease agreement period. Ownership of the asset remains with the lessor. LTOP allows Federal customers to lease the equipment for a monthly rate over a period of time, with the intent to purchase the equipment at the end of the lease agreement period. ",0,,,,
1061,65 II A   ,A-12                ,,Colostomy/Ostomy Products, ,0,,,,
1072,65 II A   ,A-14F               ,Medical Diagnostic Instruments,Laryngoscopes , ,0,,,,
1073,65 II A   ,A-14G               ,Medical Diagnostic Instruments,Other Medical Diagnostic Instruments, ,0,,,,
1088,65 II A   ,A-20B               ,"Implants, Surgical",Intraocular Lenses, ,0,,,,
1094,65 II A   ,A-22A               ,Urine and Specimen Collection Products,Specimen Cups and Containers , ,0,,,,
1111,65 II A   ,A-26C               ,Incontinent Products,Other Incontinent Products, ,0,,,,
1117,65 II A   ,A-30                ,,"Restraints, Adult and Pediatric",Medical application only,0,,,,
1129,65 II A   ,A-3A                ,Bandages/Gauzes,Plain Bandages/Gauzes, ,0,,,,
1142,65 II A   ,A-49                ,,Oxygen Respirators/Resuscitators, ,0,,,,
1151,65 II A   ,A-50F               ,Physiological Monitors,Oximeter Monitors, ,0,,,,
1178,65 II A   ,A-66                ,,Hemodialysis Equipment, ,0,,,,
1191,65 II A   ,A-79                ,,"Tables, Patient Examination, Treatment and Operating", ,0,,,,
1204,65 II A   ,A-89                ,,Sterilizer and Sanitizer Equipment, ,0,,,,
1215,65 II C   ,C-1                 ,OPERATORY ITEMS,Air Compressors & Dryers, ,0,,,,
1240,65 II C   ,C-30B               ,"HAND INSTRUMENTS, DENTAL","Hand Instruments, Dental - General Dental - Reusable", ,0,,,,
1270,65 II F   ,F-6D                ,Wheelchair Accessories,Wheelchair Tires, ,0,,,,
1285,65 V A    ,V-6                 ,,Grids and Cassettes ,Includes intensifying screens,0,,,,
1297,65 VII    ,555-7               ,,Phlebotomy, ,7,,,,
1492,66 III    ,605-4A              ,Clinical Urinalysis Analyzers,High Maintenance/Complexity Analyzers, ,0,,,,
2820,71,71 301              ,Group D-Special Use Furniture,"Complete Daycare, Preschool and Classroom Solutions","Infant, toddler, and classroom furniture, storage units/cabinets, toys and accessories. Includes high chairs and chairs with a feeding tray, cribs, changing tables, room dividers, play yards and ""child scale"" lounge seating.  Includes cribs and washable, wet-resistant crib mattresses.  Includes accessories such as crib sheets, crib bumper pads and sleeping mats. Includes items for storage and organization of toys and supplies, such as stationary or mobile units with or without trays or tubs, shelf units, combination lockers, storage wall systems, and teachers' storage cabinets.  Includes classroom chairs, student desks, student chair and desk units, student tables, tablet-arm chairs, pedestal strip tables and chairs, teacher's desks and chairs, storage units/cabinets, accessories and repair parts.  Includes toys, preschool aids, learning centers, amusement devices, games, outdoor games, inflatable toys, crafts, hobbies.  Includes design, related services and/or installation for any items under this SIN.  Products meet applicable safety, performance and flammability requirements.",0,,,,
2830,71,71 311              ,Group D-Special Use Furniture,Modular Electronic Equipment Cabinets.,"Enclosure systems for modular electronic equipment includes cabinets, racks and cases for mounting electronic equipment and accessories such as fans, electrical supplies, doors, and covers. (Excludes ADP Furniture and Systems/Modular Furniture.)",0,,,,
2834,71,71 315              ,Group D-Special Use Furniture,Hospital Patient Room Furniture.,"This SIN includes furniture designed and marketed for hospital/long term patient care use. Items include beds, mattresses, chests of drawers, wardrobes, cabinets, dressers, low dressers (credenzas), desks, table desks, hutch tops, guest tables, overbed tables, mirrors, modular components, night tables, bedside chests, headboards, footboards, armoires, medical supply storage cabinets and accessory items relevant to the furniture (i.e. hangers, towel bars). Hospital beds have adjustable angle positions and may be fixed or adjustable height. Beds may be electrically or manually adjustable. Accessories include mattresses, safety sides and/or rails, bumpers, I.V. rods, casters, headboard, footboard.  Hospital mattresses are intended for special hospital and nursing home use and are designed to conform to adjustable positions of hospital beds.  Mattresses designed for use such as orthopedic, burn and prevention of decubitus ulcers (bed sores or pressure sores) are acceptable. Overbed tables have casters and are compatible with the hospital beds. 
Hospital beds may only be purchased in conjunction with other hospital patient room furniture. Customers needing to purchase hospital beds only should look under VA Federal Supply Schedule 65 Part II Section A (65-II-A), Special Item Number A-69.",0,,,,
2844,71,71 398              ,Group D-Special Use Furniture,International Special Use Furniture Products,"This SIN covers items for use only in foreign destinations.  (Items that will be sold within the United States shall be offered under one of the other SINs, as appropriate.)  Items offered under this SIN shall comply with one of the other SIN descriptions in this schedule, excluding any performance test requirements.  Offerors shall identify the SINs that describe the items being offered by checking the categories below.  Offerors shall certify that items offered have been tested and found to comply with minimum safety standards for the countries in which the products are sold.
Infant Furniture 
Preschool, Classroom and Training Room Furniture and Auditorium and Theater Seating Preschool and Classroom Storage 
Lecterns 
Library Furniture Mail Sorting and Distribution Furniture and accessories 
Mail Lock Boxes Cafeteria and Food Service Furniture 
Clothing Lockers, Locker Benches, and Accessories
Industrial and Institutional Furniture:  Workbenches, Worktables, Warehouse Storage Systems and High Density Storage Cabinets Modular Electronic Equipment Enclosures Hazardous Materials Storage 
Museum Storage
Hospital Beds and Accessories
Hospital Patient Room Furniture 
Hospital and Geriatric Chairs 
Chair, Convalescent
Patient Service Systems 
Multiple Seating Units
Bookstacks 
Correctional Institution Furniture 
Shipboard Furniture
Design Services
Installation Services
Reconfiguration Services
Leased Furniture
Introduction of New Products (INP)",0,,,,
3326,71,7110-01-475-9599    , ,ARMORY VAULT DOORS,"Class 5-A - Armory Door resistant to 20-man-hours surreptitious entry, 30-man-minutes covert entry, and 10-man-minutes forced entry; Design B - No exterior hardware; Type IL - Left opening swing, with optical device; Style K - Key change combination lock; gray",0,,,,
3336,71,7110-01-475-8826    , ,BALLISTIC VAULT DOORS,"Class 5-B - Ballistic Door resistant to 20-man-hours surreptitious                                            entry, 30-man-minutes covert entry, and 10-man-minutes forced entry; Design B - No exterior hardware; Type IL - Left opening swing, with optical device; Style K - Key change combination lock; gray",0,,,,
3341,71,7110-01-264-8473    , ,FILING CABINETS,"Class 6 - resistant to 20-man-hours                             surreptitious entry and 30-man-minutes covert entry; Size 1 - 2 drawer, legal size; Style K - Key         change combination lock; Design DL - 2 locks in one drawer controlling all drawers, Gray",0,,,,
3351,71,7110-01-309-2000    , ,FILING CABINET,"Class 6 - resistant to 20-man-hours                             surreptitious entry and 30-man-minutes covert entry; Size IV - 5 drawer, letter size; Style K - Key        change combination lock; Design DL - 2 locks in one drawer controlling all drawers; Parchment",0,,,,
3361,71,7110-01-264-8482    , ,FILING CABINET,"Class 6 - resistant to 20-man-hours                             surreptitious entry and 30-man-minutes covert entry; Size VII - 1 drawer, special size; Style K -           Key change combination lock; Design DL - 2 locks in one drawer controlling all drawers; gray",0,,,,
3371,71,7110-01-309-2018    , ,FILING CABINET,"Class 6 - resistant to 20-man-hours                             surreptitious entry and 30-man-minutes covert entry; Size V - 5 drawer, legal size; Style K - Key         change combination lock; Design DM - individually locked drawers, 2 dual lock, 3 single locks;                 parchment",0,,,,
3381,71,7110-01-264-8475    , ,FILING CABINET,"Class 6 - resistant to 20-man-hours                             surreptitious entry and 30-man-minutes covert entry; Size I - 2 drawer, legal size; Style K - Key           change combination lock; Design DM - individually locked drawers, 1 dual lock, 1 single lock;                  gray",0,,,,
3409,621 I     ,621-051             , ,"Certified Pharmacy Technician (Includes Unit Dose, No IV and In-patient w/IV)", ,0,,,,
1145,65 II A   ,A-5                 ,,Binders/Suspensories, ,0,,,,
1188,65 II A   ,A-76                ,,"Lifts, Patient Equipment for Hospital and Home Use", ,0,,,,
3622,73,302 20              ,"Food Service Equipment, Supplies and Services",Food Preparation Equipment,"including Food Preparation Appliances; Meat Sawing Machines; Meat Slicing Machines; Meat Tenderizing Machines; Electric Mixers; Food Preparation Tables and Stands; Packing, Wrapping and Labeling Supplies; Patty Making Machines; Can Openers; Bread Making Machines; Bread Slicing Machines; Bagel Machines",5,,,,
3640,73,384 9               ,Recycling Collection Containers and Waste Receptacles,"Industrial Trash Storage Containers 
"," without Compactor, Combination Industrial Trash, Storage Container with Compactor and Accessories",0,,,,
3702,78,192 37B             ,"Fun in the Great Outdoors, including Park and Outdoor Recreational Equipment and Wheel and Track Vehicles","Park and Recreational Tables, Benches, Outdoor Pool and Patio Furniture and Bleachers","Including Replacement Parts - SET ASIDE FOR SMALL BUSINESSES (Includes related services and/or installation)

NOTE: Commercially available products under this SIN may include items which meet the U.S. Environmental Protection Agency Comprehensive Procurement Guidelines (recycled content) program.",2,,,,
3708,78,192 08              ,Fitness Solutions,Fitness equipment,"includes but not limited to exercise equipment, training equipment and supplies, health information centers, monitors, gym wipes, towels, robes (Includes related services and/or installation)",0,,,,
3720,84,260 03              ,Marine Craft and Equipment,"Boats, Nonpowered  "," Includes Life Rafts, Options and Accessories",0,,,,
3785,84,633 43              ,Special Purpose Clothing,"Wildland Fire Fighting Clothing - Personal Protection.  Helmets, Safety, Wildfire - NFPA 1977 
Compliant
", ,0,,,,
1226,65 II C   ,C-2                 ,OPERATORY ITEMS,Amalgamators & Accessories, ,0,,,,
3838,58 I      ,58 9                , ,Professional Audio/Video Production,"Production services associated with professional communications equipment products, such as the temporary use of equipment and technicians to record presentations developed by the ordering agency.  This may include skills in a variety of positions including engineers, programmers, producers, project managers, lighting and sound technicians, graphic designers.  ",0,,,,
3840,75,75 85               , ,Restroom Products,"This includes, but is not limited to, items such as:  Dispensers for Roll Toilet Tissue, Toilet Tissue, Paper Towels, Dispensers for Paper Towels, toilet seat covers, facial tissues, and soaps for restroom dispensers.",3,,,,
3865,541,541 4E              ,541 4 SPECIALIZED MARKETING SERVICES,Commercial Photography Services ,"Services provided under this SIN include photography services which may be used for commercial advertisements and/or illustrations that will appear in books, magazines, and/or other forms of media.  Services may include, but are not limited to the following components: black and white, color photography, digital photography, aerial photography, architectural photography, still photographs, field and studio photography; and related photography services such as photo editing and high-resolution scans.",5,,,,
500003507,03FAC     ,871 299             ,"ENERGY MANAGEMENT, WATER CONSERVATION AND SUPPORT SERVICES",Introduction of New Services,"A new service may be a task, procedure, or product existing in the commercial market which is being developed, improved, or not yet introduced to the Federal Government or not currently available under any GSA Contract, but is categorically related to this procurement.",,,,,
500003510,738 X     ,595 25              , ,EEO Services,"EEO Services may include but are not limited to providing investigation of Discrimination Complaints and Preparation of Reports of Investigation (includes individual Case/consolidated Case-One or Additional Issues, Continuing Violation, On-Line Reporting System, Additional Copies of Investigation Reports). Preparation of an Analysis and Recommended Final Agency Decision (FAD) in Discrimination Complaints, Inquiry, Resolution Attempt, and Preparation of an analysis and Recommended Final Agency Decision (FAD) on Allegations of Noncompliance With Settlement Agreements or Final Decisions, Resolution Attempt and Report of Inquiry Regarding Notices of Intent to Sue under Age Discrimination in Employment Act of 1967, as Amended, Alternative Dispute Resolution, Reference Materials relating to equal opportunity programs, EEO training and Consulting, EEO counseling (Individual and Class Complaint).",3,,,,
2861,71,489 99              ,"Group E - Safes, Vault Systems, and Security Products",Introduction of New Products (INP),New or improved product(s) not currently available under any GSA contract that has the potential to provide more economical or efficient means for Federal agencies to accomplish their missions,0,,,,
3320,71,7110-01-476-2954    ,"Cabinet, Security, Weapons Storage   in accordance with the latest revision of Federal Specification AA-C-2859",Weapons Container - Class 5 ,"Resistant to 20-man-hours surreptitious entry, 30-man-minutes covert entry, and 10-man-minutes forced entry; Style B - without channel base assembly; Design K - Key change combination lock; gray",0,,,,
3317,71,7110-01-475-8140    ,"Doors, Vault, Security (In accordance with the latest revision of Federal Specification 
AA-D-600D. Refer to the """"Ordering Checklist"""" for important ordering information
",VAULT DOORS,"Class 5-V - Vault Door resistant to 20-man-hours surreptitious(formerly SIN 489-180) entry, 30-man-minutes covert entry and 10-man-minutes forced entry; Design B - No exterior hardware; Type IR - right opening swing, with optical device; Style K - Key change combination lock; gray",0,,,,
3318,71,7110-01-475-8816    ,"Doors, Vault, Security (In accordance with the latest revision of Federal Specification 
AA-D-600D. Refer to the """"Ordering Checklist"""" for important ordering information
",VAULT DOORS,"Class 5-V - Vault Door resistant to 20-man-hours surreptitious entry, 30-man-minutes covert entry, and 10-man-minutes forced entry; Design B - No exterior hardware; Type IL - Left opening swing, with optical device; Style K - Key change combination lock; gray",0,,,,
3330,71,7110-01-475-9590    ,"Doors, Vault, Security (In accordance with the latest revision of Federal Specification 
AA-D-600D. Refer to the """"Ordering Checklist"""" for important ordering information
",ARMORY VAULT DOORS,"Class 5-A - Armory Door resistant to 20-man-hours surreptitious entry, 30-man-minutes covert entry, and 10-man-minutes forced entry; Design S - Single lock; Type IIIR - Double leaf door; right opening swing active leaf, with optical device; Style K - Key change combination lock; gray",0,,,,
3322,71,7110-01-475-9595    ,"Doors, Vault, Security (In accordance with the latest revision of Federal Specification 
AA-D-600D. Refer to the """"Ordering Checklist"""" for important ordering information
",ARMORY VAULT DOORS,"Class 5-A - Armory Door resistant to 20-man-hours surreptitious entry, 30-man-minutes covert entry, and 10-man-minutes forced entry; Design S - Single lock; Type IIR - Right hand swing, without optical device; Style K - Key change combination lock; gray",0,,,,
3321,71,7110-01-475-9596    ,"Doors, Vault, Security (In accordance with the latest revision of Federal Specification 
AA-D-600D. Refer to the """"Ordering Checklist"""" for important ordering information
",ARMORY VAULT DOORS,"Class 5-A - Armory Door resistant to 20-man-hours surreptitious entry, 30-man-minutes covert entry, and 10-man-minutes forced entry; Design S - Single lock; Type IR - Right hand swing, with optical device; Style K - Key change combination lock; gray",0,,,,
500003486,66,602 43              ,"Test and Measurement Equipment, Unmanned Scientific Vehicles",Aviation Engine Instruments,"Aviation Engine Instruments includes but is not limited to fuel pressure gages, manifold pressure gages, oil pressure gages, fuel mixture indicators, engine oil and fuel warning devices.
",0,,,,
1306,66,540 11              ,"Laboratory Instruments, Furnishings and LIMS","Reusable Laboratory Plastic Ware
","Laboratory ware includes general and special purpose graduated and non-graduated laboratory ware used to contain, measure and transfer laboratory samples and solutions.  This category includes reusable laboratory plastic ware. Examples are flasks, beakers, funnels, pipettes, burettes, cylinders, bottles, dishes, slides, test tubes, trays, pestles and mortars. Includes chemical, heat and impact resistant high-density polypropeline, polycarbonate and polymethylpentene plasticware.
",0,,,,
